OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
266,02404121673,Trappe,MDPV2017_18,21673,205587.450067656,221459918.26084
267,02404121676,Wittman,MDPV2017_18,21676,57240.5410689676,19813136.0376712
268,02404121679,Wye Mills,MDPV2017_18,21679,31259.5888502362,31271057.6484778
269,02404321711,Big Pool,MDPV2017_18,21711,56451.0939273297,114861289.00159
270,02404321713,Boonsboro,MDPV2017_18,21713,83179.256497714,178290123.749119
271,02404321719,Cascade,MDPV2017_18,21719,20955.8144548175,18543682.0201676
272,02404321722,Clear Spring,MDPV2017_18,21722,88115.4484045584,253529707.285481
273,02404321733,Fairplay,MDPV2017_18,21733,27218.5900635242,30207751.4602088
274,02404321740,Hagerstown,MDPV2017_18,21740,146887.571431505,317660307.922213
275,02404321742,Hagerstown,MDPV2017_18,21742,107477.552184396,206788204.390438
276,02404321750,Hancock,MDPV2017_18,21750,115972.641824012,269390473.647515
277,02404321756,Keedysville,MDPV2017_18,21756,58126.8175482743,91366800.2099546
278,02404321758,Knoxville,MDPV2017_18,21758,44391.6002405386,73571617.1669692
279,02404321767,Maugansville,MDPV2017_18,21767,7100.9135343737,1606279.94646742
280,02404321769,Middletown,MDPV2017_18,21769,7958.57327604521,1740852.2026857
281,02404321779,Rohrersville,MDPV2017_18,21779,37499.0328502449,38274033.9613314
282,02404321780,Sabillasville,MDPV2017_18,21780,9850.2426515068,2797767.26966941
283,02404321782,Sharpsburg,MDPV2017_18,21782,103262.063101718,150453937.880905
284,02404321783,Smithsburg,MDPV2017_18,21783,70398.4897448962,152564329.036357
285,02404321795,Williamsport,MDPV2017_18,21795,80977.6156871518,142100267.947424
286,02404521801,Salisbury,MDPV2017_18,21801,99486.7912540169,185144074.602163
287,02404521804,Salisbury,MDPV2017_18,21804,83336.7254594267,230746887.417196
288,02404521814,Bivalve,MDPV2017_18,21814,25767.2154370722,12706174.6163885
289,02404521822,Eden,MDPV2017_18,21822,67242.6661534422,86352190.5106934
290,02404521826,Fruitland,MDPV2017_18,21826,19941.7673816786,14984698.4860359
291,02404521830,Hebron,MDPV2017_18,21830,107288.834526425,142236972.668162
292,02404521837,Mardela Springs,MDPV2017_18,21837,152388.424318019,200539942.335291
293,02404521840,Nanticoke,MDPV2017_18,21840,46654.8278149229,24649458.6859241
294,02404521849,Parsonsburg,MDPV2017_18,21849,93159.1156453707,153329208.016875
295,02404521850,Pittsville,MDPV2017_18,21850,70466.4238986408,122576026.820745
296,02404521856,Quantico,MDPV2017_18,21856,101798.188046838,147543223.346522
297,02404521865,Tyaskin,MDPV2017_18,21865,104770.451204181,63727263.1046606
298,02404521874,Willards,MDPV2017_18,21874,57598.9053024242,115521078.115734
299,02404521875,Delmar,MDPV2017_18,21875,70728.3995920498,98467408.6102357
300,02404700000,Assateague Island,MDPV2017_18,00000,270204.876079983,56143681.8751158
301,02404721804,Salisbury,MDPV2017_18,21804,52789.4583761351,122302387.407155
302,02404721811,Berlin,MDPV2017_18,21811,384937.714121183,409976059.82052
303,02404721813,Bishopville,MDPV2017_18,21813,184879.558965624,114680203.968325
304,02404721829,Girdletree,MDPV2017_18,21829,72252.9334741689,69448596.6779501
305,02404721841,Newark,MDPV2017_18,21841,101630.059256218,147942944.547863
306,02404721842,Ocean City,MDPV2017_18,21842,176220.103304519,39129752.3914293
307,02404721851,Pocomoke City,MDPV2017_18,21851,119035.039931791,380226177.215286
308,02404721862,Showell,MDPV2017_18,21862,10817.3399289311,2938530.86901397
309,02404721863,Snow Hill,MDPV2017_18,21863,186572.537790195,482701870.53005
310,02404721864,Stockton,MDPV2017_18,21864,64363.0248562021,84077328.7757276
311,02404721872,Whaleyville,MDPV2017_18,21872,48960.2726783247,74818135.1330022
312,02451021201,Baltimore,MDPV2017_18,21201,15484.8713979067,5728301.53366426
313,02451021202,Baltimore,MDPV2017_18,21202,20811.3205250996,6949843.61513861
314,02451021205,Baltimore,MDPV2017_18,21205,23668.9049612242,8844893.83016902
315,02451021206,Raspeburg,MDPV2017_18,21206,23252.9165602052,20418805.4310394
316,02451021207,Gwynn Oak,MDPV2017_18,21207,21028.6632776267,12682830.5393675
