"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
"255","21108",2,3,10,6,6,4,11,8,8,8,15,7,10,7,8,7,10,14,8,11,11
"256","21111",1,1,2,2,2,2,0,0,1,1,1,1,0,1,2,0,2,1,6,1,2
"257","21112",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"258","21113",3,7,12,10,12,16,24,10,12,24,14,11,19,24,23,26,21,22,35,33,26
"259","21114",1,1,11,7,9,8,8,4,7,8,15,9,13,16,21,17,9,17,18,15,22
"260","21117",10,13,28,21,33,22,34,26,28,40,35,44,46,63,45,56,44,64,67,52,57
"261","21120",0,0,5,2,0,2,1,3,1,3,1,2,3,2,0,0,5,6,0,1,1
"262","21121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","21122",11,16,35,36,44,35,38,38,33,59,42,61,52,64,51,77,63,73,75,56,67
"264","21128",1,6,6,9,6,4,3,4,7,7,6,6,5,9,12,7,7,11,7,7,11
"265","21130",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"266","21131",1,0,0,5,1,1,4,1,0,6,1,1,2,6,2,2,1,3,4,3,5
"267","21132",2,1,1,2,1,0,2,0,0,2,0,0,1,0,0,1,1,2,4,2,3
"268","21133",6,12,28,30,25,31,27,29,40,45,36,45,51,64,38,64,59,66,80,65,67
"269","21136",6,7,16,16,18,15,17,18,21,32,31,26,21,32,20,30,29,31,41,35,33
"270","21138",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"271","21140",0,0,1,2,1,0,0,0,0,1,0,2,1,0,1,1,4,0,4,2,2
"272","21144",2,3,21,11,12,21,13,17,15,20,20,20,18,37,23,32,31,39,36,33,30
"273","21146",2,4,4,3,2,3,2,9,3,3,9,6,10,12,8,11,15,15,4,10,6
"274","21152",1,1,1,0,2,1,2,2,2,0,2,2,2,5,5,4,4,4,4,3,2
"275","21153",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"276","21154",4,2,3,2,1,6,5,1,5,5,3,4,4,4,5,4,2,3,3,2,6
"277","21155",0,0,0,1,2,1,0,1,1,1,4,1,2,1,1,1,2,6,0,0,1
"278","21156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279","21157",2,0,14,14,11,16,17,15,9,19,19,20,15,25,18,20,16,18,18,19,35
"280","21158",1,1,6,11,12,9,11,11,15,17,8,11,21,12,18,13,11,12,13,12,13
